Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Age_group
Single,General,5,Arts/Communication,1,Secondary Education,122.0,1,Basic Education,Other,Service/Sales,Elementary,127.3,1,0,0,1,Male,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,20-22
Single,Special/Island/Ordinance,1,Business/Economy,1,Secondary Education,160.0,1,Secondary,Higher Education,Technicians,Technicians,142.5,1,0,0,0,Male,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,5,Arts/Communication,1,Secondary Education,122.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,124.8,1,0,0,0,Male,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,17-19
Single,General,2,Arts/Communication,1,Secondary Education,122.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Technicians,119.6,1,0,0,1,Female,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,20-22
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,100.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,141.5,0,0,0,1,Female,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,30+
Married/Union,Transfer/Change,1,Business/Economy,0,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,114.8,0,0,1,1,Male,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,30+
Single,General,1,Health/Medicine,1,Secondary Education,142.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Other,128.4,1,0,0,1,Female,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,17-19
Single,General,4,Business/Economy,1,Secondary Education,119.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,113.1,1,0,0,0,Male,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,General,3,Social Sciences,1,Secondary Education,137.0,62,Secondary,Secondary,Elementary,Elementary,129.3,0,0,0,1,Female,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,20-22
Single,General,1,Social Sciences,1,Secondary Education,138.0,1,Secondary,Basic Education,Clerical,Craft/Trade,123.0,1,0,1,0,Female,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,17-19
Single,General,1,Business/Economy,1,Secondary Education,139.0,1,No Schooling/Primary,Basic Education,Service/Sales,Craft/Trade,130.6,1,0,0,1,Female,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,1,Health/Medicine,1,Secondary Education,136.0,1,Basic Education,No Schooling/Primary,Elementary,Elementary,119.3,1,0,0,1,Female,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,17-19
Single,General,2,Education,1,Secondary Education,133.0,1,Basic Education,No Schooling/Primary,Clerical,Elementary,130.2,1,0,0,1,Female,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,17-19
Single,Transfer/Change,1,Business/Economy,1,Higher Education,110.0,1,Secondary,Secondary,Clerical,Craft/Trade,111.8,1,0,0,1,Female,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,20-22
Single,General,1,Engineering/Tech,1,Secondary Education,149.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Service/Sales,137.1,1,0,0,1,Female,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,17-19
